Nombre,FormatoVideo,CodCadenaTv,CasId,PuntoReproduccion
Negocios TV,SD,NEGOTV,4985,http://negociostv-dash-movistarplus.emisiondof6.com/manifest.mpd
CGTN Español,SD,CCTV-E,5287,http://cgtn-dash-movistarplus.emisiondof6.com/manifest.mpd
Canal Sur Andalucía,SD,ANTV,4764,http://csur-dash-movistarplus.emisiondof6.com/manifest.mpd
TVG Europa,SD,TVG,4548,http://galicia-dash-movistarplus.emisiondof6.com/manifest.mpd
Canal Extremadura Sat,SD,EXTREM,4614,http://extremadura-dash-movistarplus.emisiondof6.com/manifest.mpd
Aragón TV Int,SD,ARAGON,4615,http://aragon-dash-movistarplus.emisiondof6.com/manifest.mpd
EITB Basque,SD,ETB,4557,http://etb-dash-movistarplus.emisiondof6.com/manifest.mpd
TV3 Cat,HD,TVC,4555,http://tv3cat-dash-movistarplus.emisiondof6.com/manifest.mpd
Telemadrid Int.,HD,TELMIN,5092,http://inttelemadrid-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ LALIGA TV 3,HD,MLIG2,4834,http://3liga-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ LALIGA TV 4,HD,MLIG3,4835,http://4liga-dash-movistarplus.emisiondof6.com/manifest.mpd
Movistar Plus+ 2,HD,MPLUS2,5264,http://2plus-dash-movistarplus.emisiondof6.com/manifest.mpd
LALIGA TV HYPERMOTION 3,HD,MLIGS3,5137,http://3segdiv-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Liga de Campeones  4,HD,CHAP3,4565,http://04campeones-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Liga de Campeones 5,HD,CHAP4,4568,http://05campeones-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Liga de Campeones 6,HD,CHAP5,4570,http://06campeones-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Liga de Campeones 7,HD,CHAP6,4572,http://07campeones-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Liga de Campeones 8,SD,CHAP7,4574,http://08campeones-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Liga de Campeones 9,SD,CHAP8,4578,http://09campeones-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Liga de Campeones 10,SD,CHAP9,5003,http://10campeones-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Liga de Campeones 11,SD,CHAP10,5007,http://11campeones-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Liga de Campeones 12,SD,CHAP11,5017,http://12campeones-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Liga de Campeones 13,SD,CHAP12,5021,http://13campeones-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Deportes 4,HD,USOP3,4561,http://4multidep-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Deportes 5,HD,USOP11,4562,http://5multidep-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Deportes 6,HD,MULTI8,4566,http://6multidep-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Deportes 7,SD,MULTI6,4569,http://7multidep-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Deportes 8,SD,MULTI9,4769,http://8multidep-dash-movistarplus.emisiondof6.com/manifest.mpd
DAZN 3,HD,DAZN3,4961,http://dazn3-dash-movistarplus.emisiondof6.com/manifest.mpd
DAZN 4,HD,DAZN4,4962,http://dazn4-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ LALIGA TV UHD,4K,MLIGUH,5077,http://uhdlaliga-dash-movistarplus.emisiondof6.com/manifestuhd.mpd
Pruebas 1_OTT,SD,P1OTT,5121,http://test01-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 2_OTT,SD,P2OTT,4924,http://test02-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 3_OTT,SD,P3OTT,5052,http://test03-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 4_OTT,SD,P4OTT,5053,http://test04-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 5_OTT,SD,P5OTT,5054,http://test05-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 6_OTT,SD,P6OTT,5055,http://test06-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 17_OTT,SD,P17OTT,5145,http://test17-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 18_OTT,SD,P18OTT,5146,http://test18-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 19_OTT,SD,P19OTT,5147,http://test19-dash-movistarplus.emisiondof6.com/manifest.mpd
SKAM,SD,SKAM,4896,http://skam-dash-movistarplus.emisiondof6.com/manifest.mpd
Test UHD 1,4K,TESUHD,5057,http://1uhd-dash-movistarplus.emisiondof6.com/manifestuhd.mpd
M+ Liga de Campeones UHD,4K,CHAUHD,5078,http://uhdmcampeones-dash-movistarplus.emisiondof6.com/manifestuhd.mpd
M+ Liga de Campeones2 UHD,4K,CHUHD1,5274,http://uhd2mcamp-dash-movistarplus.emisiondof6.com/manifestuhd.mpd
M+ LaLiga 11,SD,MLIG10,4842,http://11liga-dash-movistarplus.emisiondof6.com/manifest.mpd
Eurosport 4K,4K,ESP4K,5272,http://1eventuhd-dash-movistarplus.emisiondof6.com/manifestuhd.mpd
Pruebas 20 SD_OTT,SD,P20OTT,5162,http://test20-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 21_SD_OTT,SD,P21OTT,5163,http://test21-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 22_SD_OTT,SD,P22OTT,5164,https://test22-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 8,SD,PRUE8,5288,http://01pruebasim-dash-movistarplus.emisiondof6.com/manifest.mpd
TV3,SD,TV3CAT,4982,http://tdttv3-dash-movistarplus.emisiondof6.com/manifest.mpd
TVG -TV Galicia,HD,TVGAL,4983,http://tdt1galicia-dash-movistarplus.emisiondof6.com/manifest.mpd
Telemadrid,HD,TELMAD,4981,http://tdttelemadrid-dash-movistarplus.emisiondof6.com/manifest.mpd
ETB 1,HD,ETB1,5074,http://tdt1etb-dash-movistarplus.emisiondof6.com/manifest.mpd
Navarra TV,HD,NAVA,5210,http://tdtnavarra-dash-movistarplus.emisiondof6.com/manifest.mpd
IB3,HD,IB3,5091,http://tdt3ibiza-dash-movistarplus.emisiondof6.com/manifest.mpd
Aragón TV,HD,ARAGTV,5090,http://tdttvaragon-dash-movistarplus.emisiondof6.com/manifest.mpd
TV Canaria,HD,CANAR,5089,http://tdttvcanarias-dash-movistarplus.emisiondof6.com/manifest.mpd
Castilla la Mancha TV,HD,CASMAN,5265,http://tdtcastmancha-dash-movistarplus.emisiondof6.com/manifest.mpd
La 7,HD,CYLTV,5266,http://tdtcastleon-dash-movistarplus.emisiondof6.com/manifest.mpd
À Punt,HD,APUNT,5088,http://tdtapuntvalencia-dash-movistarplus.emisiondof6.com/manifest.mpd
M+ Copa del Rey,HD,MCOPA,5355,http://01coparey-dash-movistarplus.emisiondof6.com/manifest.mpd
Canal Extremadura,,EXTRE,5357,http://tdtextremad-dash-movistarplus.emisiondof6.com/manifest.mpd
